"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
54.6968292945695,-274.045577550302,2.58735969043915,-0.509326174748137,"Exploratory","Exploratory",3600,1,2262,2262,2,4,9
55.6420205279574,-277.4156719868,3.50013185160063,-2.2516858155237,"Exploratory","Exploratory",3600,1,2263,2263,2,2,9
56.0816443403732,-276.194898797265,1.29751927797994,2.52249237872119,"Exploratory","Exploratory",3600,1,2264,2264,1,8,9
56.5947538406033,-277.121254260833,1.05896921773356,-2.29009807099975,"Exploratory","Exploratory",3600,1,2265,2265,1,2,9
57.3926963214381,-276.234523772634,1.19289696177872,1.9030156628466,"Exploratory","Exploratory",3600,1,2266,2266,1,7,9
62.2308799261589,-280.755173617563,6.62150251932619,-1.58953525368581,"Transit","Exploratory",3600,1,2267,2267,3,2,9
63.9328538287362,-281.095392066307,1.73564505528062,0.554186459633353,"Exploratory","Exploratory",3600,1,2268,2268,1,5,9
66.2116802008079,-283.597428828845,3.38426322781481,-0.634756649442303,"Exploratory","Exploratory",3600,1,2269,2269,2,4,9
66.9146953838586,-283.566252111188,0.703706142735539,0.876370696997199,"Exploratory","Exploratory",3600,1,2270,2270,1,6,9
66.8117739095143,-283.692533877725,0.162910756062538,-2.29894376133729,"Resting","Exploratory",3600,1,2271,2271,1,2,9
66.4448535379126,-283.435292516331,0.448111232963776,-1.49841894197487,"Exploratory","Exploratory",3600,1,2272,2272,1,3,9
67.3466330358868,-284.537567037806,1.42415426961397,2.86793350107908,"Exploratory","Exploratory",3600,1,2273,2273,1,8,9
67.5964709405318,-281.792273599516,2.75663835874642,2.36515151627129,"Exploratory","Exploratory",3600,1,2274,2274,2,8,9
67.0793384737722,-281.650263023746,0.536276973034929,1.39354714470643,"Exploratory","Exploratory",3600,1,2275,2275,1,6,9
67.7126002300118,-281.187110001291,0.784557948226079,-2.24211216508559,"Exploratory","Exploratory",3600,1,2276,2276,1,2,9
65.7714754084424,-279.775965373026,2.39985306525109,1.88151726828931,"Exploratory","Exploratory",3600,1,2277,2277,1,7,9
66.0983292345866,-279.915095575811,0.355233214933793,-2.9154263640871,"Resting","Exploratory",3600,1,2278,2278,1,1,9
64.8705170690463,-278.447897984386,1.91316269201851,2.67003525370844,"Exploratory","Exploratory",3600,1,2279,2279,1,8,9
58.5478149593833,-267.910737209111,12.2885442250718,-0.156357427871213,"Transit","Exploratory",3600,1,2280,2280,5,4,9
57.4360194701352,-268.603537726182,1.30998540692896,1.58760677696048,"Exploratory","Exploratory",3600,1,2281,2281,1,7,9
57.4370535806777,-268.56411894578,0.039432342474133,-2.15428252307719,"Resting","Exploratory",3600,1,2282,2282,1,2,9
55.9956716229406,-266.250170330124,2.72615849575683,0.583322992326891,"Exploratory","Exploratory",3600,1,2283,2283,2,5,9
52.299096202841,-262.95655188653,4.95101931812684,0.285885421601041,"Exploratory","Exploratory",3600,1,2284,2284,2,5,9
